,journal_title,article_title,contributors,year,doi
54,Science of The Total Environment,Science of The Total Environment,"['Mohit Prakash Mohanty', 'Slobodan P. Simonovic']",2021,10.1016/j.scitotenv.2021.148323
55,Geoscientific Model Development,Geoscientific Model Development,"['Martin Juckes', 'Karl E. Taylor', 'Paul J. Durack', 'Bryan Lawrence', 'Matthew S. Mizielinski', 'Alison Pamment', 'Jean-Yves Peterschmitt', 'Michel Rixen', 'Stéphane Sénési']",2020,10.5194/gmd-13-201-2020
56,Nature Communications,Nature Communications,"['Jürgen Bader', 'Johann Jungclaus', 'Natalie Krivova', 'Stephan Lorenz', 'Amanda Maycock', 'Thomas Raddatz', 'Hauke Schmidt', 'Matthew Toohey', 'Chi-Ju Wu', 'Martin Claussen']",2020,10.1038/s41467-020-18478-6
57,Land,Land,"['Jaeyoung Song', 'Sungbo Shim', 'Ji-Sun Kim', 'Jae-Hee Lee', 'Young-Hwa Byun', 'Yeon-Hee Kim']",2021,10.3390/land10111151
58,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Bowen Zhu', 'Maoyi Huang', 'Yanyan Cheng', 'Xianhong Xie', 'Ying Liu', 'Xuesong Zhang', 'Gautam Bisht', 'Xingyuan Chen', 'Justine Missik', 'Heping Liu']",2020,10.1029/2019MS001953
59,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Julius Vira', 'Peter Hess', 'Money Ossohou', 'Corinne Galy-Lacaux']",2022,10.5194/acp-22-1883-2022
60,Nature Climate Change,Nature Climate Change,"['Joeri Rogelj', 'Alexander Popp', 'Katherine V. Calvin', 'Gunnar Luderer', 'Johannes Emmerling', 'David Gernaat', 'Shinichiro Fujimori', 'Jessica Strefler', 'Tomoko Hasegawa', 'Giacomo Marangoni', 'Volker Krey', 'Elmar Kriegler', 'Keywan Riahi', 'Detlef P. van Vuuren', 'Jonathan Doelman', 'Laurent Drouet', 'Jae Edmonds', 'Oliver Fricko', 'Mathijs Harmsen', 'Petr Havlík', 'Florian Humpenöder', 'Elke Stehfest', 'Massimo Tavoni']",2018,10.1038/s41558-018-0091-3
61,Geophysical Research Letters,Geophysical Research Letters,"['Dan Li', 'Liang Wang']",2019,10.1029/2019GL084861
62,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['David M. Lawrence', 'Rosie A. Fisher', 'Charles D. Koven', 'Keith W. Oleson', 'Sean C. Swenson', 'Gordon Bonan', 'Nathan Collier', 'Bardan Ghimire', 'Leo van Kampenhout', 'Daniel Kennedy', 'Erik Kluzek', 'Peter J. Lawrence', 'Fang Li', 'Hongyi Li', 'Danica Lombardozzi', 'William J. Riley', 'William J. Sacks', 'Mingjie Shi', 'Mariana Vertenstein', 'William R. Wieder', 'Chonggang Xu', 'Ashehad A. Ali', 'Andrew M. Badger', 'Gautam Bisht', 'Michiel van den Broeke', 'Michael A. Brunke', 'Sean P. Burns', 'Jonathan Buzan', 'Martyn Clark', 'Anthony Craig', 'Kyla Dahlin', 'Beth Drewniak', 'Joshua B. Fisher', 'Mark Flanner', 'Andrew M. Fox', 'Pierre Gentine', 'Forrest Hoffman', 'Gretchen Keppel‐Aleks', 'Ryan Knox', 'Sanjiv Kumar', 'Jan Lenaerts', 'L. Ruby Leung', 'William H. Lipscomb', 'Yaqiong Lu', 'Ashutosh Pandey', 'Jon D. Pelletier', 'Justin Perket', 'James T. Randerson', 'Daniel M. Ricciuto', 'Benjamin M. Sanderson', 'Andrew Slater', 'Zachary M. Subin', 'Jinyun Tang', 'R. Quinn Thomas', 'Maria Val Martin', 'Xubin Zeng']",2019,10.1029/2018MS001583
63,Journal of Hydrology,Journal of Hydrology,"['Qiang Wang', 'Xitian Cai', 'Jinyun Tang', 'Long Yang', 'Jie Wang', 'Youpeng Xu']",2023,10.1016/j.jhydrol.2023.129855
