,journal_title,article_title,contributors,year,doi
118,Climate Dynamics,Climate Dynamics,"['Qiong Zhang', 'Ellen Berntell', 'Qiang Li', 'Fredrik Charpentier Ljungqvist']",2021,10.1007/s00382-021-05696-x
119,Geophysical Research Letters,Geophysical Research Letters,"['Amir Erfanian', 'Guiling Wang', 'Lori Fomenko', 'Miao Yu']",2017,10.1002/2017GL073053
120,Climatic Change,Climatic Change,"['Ben Parkes', 'Jennifer Cronin', 'Olivier Dessens', 'Benjamin Sultan']",2019,10.1007/s10584-019-02405-w
121,Climate Dynamics,Climate Dynamics,"['S. Gopika', 'Takeshi Izumo', 'Jérôme Vialard', 'Matthieu Lengaigne', 'Iyyappan Suresh', 'M. R. Ramesh Kumar']",2020,10.1007/s00382-019-05049-9
122,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['I. Fountoulakis', 'A. F. Bais', 'K. Tourpali', 'K. Fragkos', 'S. Misios']",2014,10.1002/2014JD021918
123,Neotropical Entomology,Neotropical Entomology,"['D P Silva', 'A C Dias', 'L S Lecci', 'J Simião-Ferreira']",2019,10.1007/s13744-018-0621-8
124,Climate Dynamics,Climate Dynamics,"['Giorgio Graffino', 'Riccardo Farneti', 'Fred Kucharski']",2021,10.1007/s00382-021-05639-6
125,Journal of Oceanography,Journal of Oceanography,"['Tomoki Tozuka', 'Tangdong Qu', 'Toshio Yamagata']",2015,10.1007/s10872-014-0265-1
126,Climate Dynamics,Climate Dynamics,"['Pandora Hope', 'Benjamin J. Henley', 'Joelle Gergis', 'Josephine Brown', 'Hua Ye']",2017,10.1007/s00382-016-3393-z
127,Weather and Climate Extremes,Weather and Climate Extremes,"['N. Herold', 'M. Ekström', 'J. Kala', 'J. Goldie', 'J.P. Evans']",2018,10.1016/j.wace.2018.01.001
128,Journal of Climate,Journal of Climate,"['Sanjiv Kumar', 'James Kinter', 'Paul A. Dirmeyer', 'Zaitao Pan', 'Jennifer Adams']",2013,10.1175/JCLI-D-12-00535.1
129,Geophysical Research Letters,Geophysical Research Letters,"['Pu Lin', 'Yi Ming', 'V. Ramaswamy']",2015,10.1002/2014GL062823
130,Geophysical Research Letters,Geophysical Research Letters,['Chien Wang'],2015,10.1002/2015GL066416
131,Atmospheric and Oceanic Science Letters,Atmospheric and Oceanic Science Letters,"['Tao Wang', 'Jia-Peng Miao']",2018,10.1080/16742834.2017.1381548
132,Atmospheric Research,Atmospheric Research,"[""Zulfaqar Sa'adi"", 'Shamsuddin Shahid', 'Eun-Sung Chung', 'Tarmizi bin Ismail']",2017,10.1016/j.atmosres.2017.08.002
133,JAWRA Journal of the American Water Resources Association,JAWRA Journal of the American Water Resources Association,"['Christopher J. Woltemade', 'Timothy W. Hawkins', 'Claire Jantz', 'Scott Drzyzga']",2020,10.1111/1752-1688.12835
134,Climatic Change,Climatic Change,"['Amber N. Wright', 'Mark W. Schwartz', 'Robert J. Hijmans', 'H. Bradley Shaffer']",2016,10.1007/s10584-015-1552-6
135,Atmosphere,Atmosphere,['Sergei Soldatenko'],2020,10.3390/atmos11060654
136,Annual Review of Earth and Planetary Sciences,Annual Review of Earth and Planetary Sciences,"['Jian Ma', 'Robin Chadwick', 'Kyong-Hwan Seo', 'Changming Dong', 'Gang Huang', 'Gregory R. Foltz', 'Jonathan H. Jiang']",2018,10.1146/annurev-earth-082517-010102
137,Journal of Meteorological Research,Journal of Meteorological Research,"['Xiaolong Chen', 'Zhun Guo', 'Tianjun Zhou', 'Jian Li', 'Xinyao Rong', 'Yufei Xin', 'Haoming Chen', 'Jingzhi Su']",2019,10.1007/s13351-019-8074-5
