,journal_title,article_title,contributors,year,doi
76,Journal of Climate,Journal of Climate,"['Yonggang Liu', 'Yubin Wu', 'Zhongda Lin', 'Yang Zhang', 'Jiang Zhu', 'Chaolu Yi']",2020,10.1175/JCLI-D-19-0763.1
77,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Sabine Haase', 'Katja Matthes']",2019,10.5194/acp-19-3417-2019
78,Earth and Planetary Science Letters,Earth and Planetary Science Letters,"['Xiaojing Du', 'Ingrid Hendy', 'Linda Hinnov', 'Erik Brown', 'Jiang Zhu', 'Christopher J. Poulsen']",2021,10.1016/j.epsl.2020.116670
79,Understanding the Effects of Modern Compressors on the Community Earth Science Model,2022 IEEE/ACM 8th International Workshop on Data Analysis and Reduction for Big Scientific Data (DRBSD),"['Robert Underwood', 'Julie Bessac', 'Sheng Di', 'Franck Cappello']",2022,10.1109/DRBSD56682.2022.00006
80,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Isla R. Simpson', 'David M. Lawrence', 'Sean C. Swenson', 'Cecile Hannay', 'Karen A. McKinnon', 'John E. Truesdale']",2022,10.1029/2021MS002880
81,Quaternary Science Reviews,Quaternary Science Reviews,"['Gabriel Silvestri', 'Ana Laura Berman', 'Francois De Vleeschouwer', 'Ilana Wainer']",2021,10.1016/j.quascirev.2021.107273
82,Geophysical Research Letters,Geophysical Research Letters,"['E. M. Fischer', 'J. Sedláček', 'E. Hawkins', 'R. Knutti']",2014,10.1002/2014GL062018
83,Geophysical Research Letters,Geophysical Research Letters,"['So‐Won Park', 'Jin‐Soo Kim', 'Jong‐Seong Kug', 'Malte F. Stuecker', 'In‐Won Kim', 'Mathew Williams']",2020,10.1029/2019GL086390
84,Climatic Change,Climatic Change,"['Andrew J. Monaghan', 'K. M. Sampson', 'D. F. Steinhoff', 'K. C. Ernst', 'K. L. Ebi', 'B. Jones', 'M. H. Hayden']",2018,10.1007/s10584-016-1679-0
85,Journal of Climate,Journal of Climate,"['Yiya Yang', 'Renguang Wu', 'Chenghai Wang']",2020,10.1175/JCLI-D-19-0262.1
86,Geoscientific Model Development,Geoscientific Model Development,"['Khairunnisa Yahya', 'Kai Wang', 'Patrick Campbell', 'Timothy Glotfelty', 'Jian He', 'Yang Zhang']",2016,10.5194/gmd-9-671-2016
